Titulo;Ano;Pais;Genero
21 gramos;2003;USA	;Thriller, Drama, Policiav
Suite Habana;2003;Cuba	;Documental	x x
El premio;1963;USA	;Thriller, Drama, Policial (ch
Space Cowboys;2000;USA	;Thriller, Aventura^.
Una jornada particular;1977;Italy	;Drama, Bélica, Romántica
14 de julio;1933;francia	;Comedia
21 gramos;2003;USA	;Thriller, Drama, Policial (cri
4 luni, 3 saptamáni si 2zile;2007;Romanía	;Drama
Dos metros bajo tierra, A;2001;USA	;Drama
la mañana siguiente, A;1986;USA	;Thriller, Policial (crimen), R
Abismos de pasión;1954;México	;Drama, Romántica
Acción mutante;1993;Spain	;Thriller, Ciencia Ficción, Com
Adiós a mi concubina;1993;China	;Drama, Música, Bélica, Románti
Aflicción;1997;USA	;Thriller, Drama, Misterio
Al otro lado;2007;Germany	;Drama
Al servicio de las damas;1936;USA	;Comedia, Romántica
Alemania, año cero;1948;Italy	;Drama
Aleksandr Nevskiy;1938;Soviet Union	;Acción, Drama, Bélica, Histori
Algunos hombres buenos;1992;USA	;Thriller, Drama, Policial (cri
Amantes (x2);1991;Spain	;Drama, Policial (crimen), Romá
Amén. (x2);2002;France	;Drama, Bélica, Policial (crime
Amor en conserva;1949;USA	;Comedia, Policial (crimen), Mu
Amores perros;2000;México	;Thriller, Drama
Angeles sin brillo;1957;USA	;Drama, Romántica
Antes que el diablo sepa que h;2007;USA	;Thriller, Drama, Policial (cri
Apache;1954;USA	;Lejano Oeste
Aparajito - Trilogía de .Apu;1956;India	;Drama
Apur Sansar - Trilogía de Apu;1959;India	;Drama
Arcadia;2005;Belgium	;Thriller, Drama, Comedia, Poli X
Arsénico por compasión;1944;USA	;Thriller, Comedia, Policial (c
Arturo de Cordova;1953;México	;Drama
Atraco a las tres;1962;Spain	;Comedia
Atraco perfecto;1956;USA	;Thriller, Policial (crimen), C
Ayer, hoy y mañana;1963;Italy	;Comedia, Romántica
Bagdad Cafe;1982;West Germany	;Drama, Comedia
Bailando con lobos (x3);1990;USA	;Drama, Aventuras, Lejano Oeste
Bajo los techos de París;1930;France	;Drama, Comedia, Romántica ^
Barrio;1998;Spain	;Drama
Berlín Exp-*jjass;1948;USA	;Thriller, Drama, Cine Negro
Bienvenidos a Collinwood;2002;USA	;Comedia, Policial (crimen)
Blade Runner;1982;USA	;Thriller, Drama, Ciencia Ficci
Blow-Up (Deseo de una mañana d;1966;UK	;Thriller, Drama, Misterio
Boca a boca;1995;Spain	;Comedia, Romántica
Bodas de sangre;1981;Spain	;Drama
Bodas reales;1951;USA	;Comedia, Romántica, Musical
Braveheart;1995;USA	;Acción, Drama, Bélica, Histori
Buenas noches, y buena suerte.;2005;USA	;Drama, Historia
Buenos días, noche;2003;Italy	;Drama
Buenos días;1959;Japan	;Drama, Comedia
Cabaret (x2);1972;USA	;Drama, Música, Romántica, Musi
Caché (Escondido);2005;France	;Thriller, Drama, Misterio
Cadena perpetua;1994;USA	;Drama, Policial (crimen)
Cadenas rotas;1946;UK	;Drama, Romántica
Café irlandés;1993;UK	;Drama, Comedia
Calabuch;1956;Spain	;Comedia
Camarada;1946;Italy	;Drama, Bélica
Camino;2009;España	 
Canción de cuna para un cadáve;1964;USA	;Thriller, Horror, Drama
Candilejas;1952;USA	;Drama, Música, Comedia, Románt
Cara de ángel;1952;USA	;Drama, Policial (crimen), Cine
Caro diario: querido diario;1993;Italy	;Drama, Comedia, Biográficas
Carreteras secundarias;1997;Spain	;Drama, Romántica
Carrie;1976;USA	;Horror, Drama
Carros de fuego;1981;UK	;Drama, Deportes, Historia
Carta a tres esposas;1949;USA	;Drama, Romántica, Misterio
