Título,Año,País
21 gramos,2003,USA	
Suite Habana,2003,Cuba	
El premio,1963,USA	
Space Cowboys,2000,USA	
Una jornada particular,1977,Italy	
14 de julio,1933,francia	
21 gramos,2003,USA	
"4 luni, 3 saptamáni si 2zile",2007,Romanía	
"Dos metros bajo tierra, A",2001,USA	
"la mañana siguiente, A",1986,USA	
Abismos de pasión,1954,México	
Acción mutante,1993,Spain	
Adiós a mi concubina,1993,China	
Aflicción,1997,USA	
Al otro lado,2007,Germany	
Al servicio de las damas,1936,USA	
"Alemania, año cero",1948,Italy	
Aleksandr Nevskiy,1938,Soviet Union	
Algunos hombres buenos,1992,USA	
Amantes (x2),1991,Spain	
Amén. (x2),2002,France	
Amor en conserva,1949,USA	
Amores perros,2000,México	
Angeles sin brillo,1957,USA	
Antes que el diablo sepa que h,2007,USA	
Apache,1954,USA	
Aparajito - Trilogía de .Apu,1956,India	
Apur Sansar - Trilogía de Apu,1959,India	
Arcadia,2005,Belgium	
Arsénico por compasión,1944,USA	
Arturo de Cordova,1953,México	
Atraco a las tres,1962,Spain	
Atraco perfecto,1956,USA	
"Ayer, hoy y mañana",1963,Italy	
Bagdad Cafe,1982,West Germany	
Bailando con lobos (x3),1990,USA	
Bajo los techos de París,1930,France	
Barrio,1998,Spain	
Berlín Exp-*jjass,1948,USA	
Bienvenidos a Collinwood,2002,USA	
Blade Runner,1982,USA	
Blow-Up (Deseo de una mañana d,1966,UK	
Boca a boca,1995,Spain	
Bodas de sangre,1981,Spain	
Bodas reales,1951,USA	
Braveheart,1995,USA	
"Buenas noches, y buena suerte.",2005,USA	
"Buenos días, noche",2003,Italy	
Buenos días,1959,Japan	
Cabaret (x2),1972,USA	
Caché (Escondido),2005,France	
Cadena perpetua,1994,USA	
Cadenas rotas,1946,UK	
Café irlandés,1993,UK	
Calabuch,1956,Spain	
Camarada,1946,Italy	
Camino,2009,España	 
Canción de cuna para un cadáve,1964,USA	
Candilejas,1952,USA	
Cara de ángel,1952,USA	
Caro diario: querido diario,1993,Italy	
Carreteras secundarias,1997,Spain	
Carrie,1976,USA	
Carros de fuego,1981,UK	
Carta a tres esposas,1949,USA	
Casablanca,1942,USA	
Cayo Largo,1948,USA	
"Cazador blanco, corazón negro",1990,USA	
Cazador de forajidos,1957,USA	
Charada,1963,USA
Chicago,2002,USA
Chocolat,2000,UK
Cinema Paradiso,1988,Italy
Ciudad de Dios,2002,Brazil
Ciudad sin ley,2005,USA
Ciudadano Kane,1941,USA
Code ',2000,usa
Coffee and CigarettesJ/Wl</A//,2003,USA
Como agua para chocolate,1992,México
Cómo casarse con un millonario,1953,USA
"Con amor, Liza",2002,France
Con faldas y a lo loco,1959,USA
I giorni contati,1963,Italy
Confidencias,1974,Italy
Contra la pared,2004,Germany
Conversaciones con mi jardiner,2007,France
Cookie's Fortune,1999,USA
Copacabana,1947,usa
Corazón rebelde,2009,USA
Corrientes ocultas,1946,USA
Cotton Club,1984,USA
Crash,2004,USA
C.S.I. - Temporada 1,2000,USA
CSI: Miami - Temporada 1,2002,USA
Cuando muere el día,1941,USA
Cube,1997,Cañada
Cuento de invierno,1992,France
Cuento de otoño,1998,France
