Titulo,Ano
21 gramos,2003
Suite Habana,2003
El premio,1963
Space Cowboys,2000
Una jornada particular,1977
14 de julio,1933
21 gramos,2003
"4 luni, 3 saptamáni si 2zile",2007
"Dos metros bajo tierra, A",2001
"la mañana siguiente, A",1986
Abismos de pasión,1954
Acción mutante,1993
Adiós a mi concubina,1993
Aflicción,1997
Al otro lado,2007
Al servicio de las damas,1936
"Alemania, año cero",1948
Aleksandr Nevskiy,1938
Algunos hombres buenos,1992
Amantes (x2),1991
Amén. (x2),2002
Amor en conserva,1949
Amores perros,2000
Angeles sin brillo,1957
Antes que el diablo sepa que h,2007
Apache,1954
Aparajito - Trilogía de .Apu,1956
Apur Sansar - Trilogía de Apu,1959
Arcadia,2005
Arsénico por compasión,1944
Arturo de Cordova,1953
Atraco a las tres,1962
Atraco perfecto,1956
"Ayer, hoy y mañana",1963
Bagdad Cafe,1982
Bailando con lobos (x3),1990
Bajo los techos de París,1930
Barrio,1998
Berlín Exp-*jjass,1948
Bienvenidos a Collinwood,2002
Blade Runner,1982
Blow-Up (Deseo de una mañana d,1966
Boca a boca,1995
Bodas de sangre,1981
Bodas reales,1951
Braveheart,1995
"Buenas noches, y buena suerte.",2005
"Buenos días, noche",2003
Buenos días,1959
Cabaret (x2),1972
Caché (Escondido),2005
Cadena perpetua,1994
Cadenas rotas,1946
Café irlandés,1993
Calabuch,1956
Camarada,1946
Camino,2009
Canción de cuna para un cadáve,1964
Candilejas,1952
Cara de ángel,1952
Caro diario: querido diario,1993
Carreteras secundarias,1997
Carrie,1976
Carros de fuego,1981
Carta a tres esposas,1949
Casablanca,1942
Cayo Largo,1948
"Cazador blanco, corazón negro",1990
Cazador de forajidos,1957
Charada,1963
Chicago,2002
Chocolat,2000
Cinema Paradiso,1988
Ciudad de Dios,2002
Ciudad sin ley,2005
Ciudadano Kane,1941
Code ',2000
Coffee and CigarettesJ/Wl</A//,2003
Como agua para chocolate,1992
Cómo casarse con un millonario,1953
"Con amor, Liza",2002
Con faldas y a lo loco,1959
I giorni contati,1963
Confidencias,1974
Contra la pared,2004
Conversaciones con mi jardiner,2007
Cookie's Fortune,1999
Copacabana,1947
Corazón rebelde,2009
Corrientes ocultas,1946
Cotton Club,1984
Crash,2004
C.S.I. - Temporada 1,2000
CSI: Miami - Temporada 1,2002
Cuando muere el día,1941
Cube,1997
Cuento de invierno,1992
Cuento de otoño,1998
Cuento de primavera,1990
Cuento de primavera,1990
Conte d'été,1996
Cuentos de la luna pálida,1953
fióc cuentos de Tokyo,1953
Cumbres borrascosas,1939
Cyrano de Bergerac (x2),1950
Cyrano de Bergerac (x2),1990
"Danzad, danzad, malditos",1969
Delitos y faltas,1989
Desayuno con diamantes,1961
Desayuno en Plutón,2005
Deseando amar,2000
Deseos humanos (x2),1954
Días contados,1994
Dies irae,1943
12 hombres sin piedad,1957
Dodesukaden,1970
Dogville,2003
Dolls - Marionetas,2002
Dos cabalgan juntos,1961
Dos chicas de hoy,1997
Dos hombres contra el Oeste,1971
Dos hombres y un destino,1969
2001: Una odisea del espacio,1968
Dos mujeres x2,1960
Duelo al sol,1946
Edipo rey,1967
West Side Story,1961
El gran MacLintock,1963
El abrazo de la muerte,1949
El Alamo,1960
El americano impasible x2,2002
El amo de la casa,1925
Eli amor,1948
El ángel exterminador,1962
El apartamento,1960
El asesinato de Richard Nixon,2004
El aventurero,1967
El aviador,2004
El banquete de boda,1993
"El bueno, el feo y el malo",1966
El burlador de Castilla,1948
El buscavidas,1961
El cartero siempre llama dos v,1981
El cielo protector,1990
El color del dinero,1986
El coronel Maciá,2006
El coronel no tiene quien le e,1999
El crepúsculo de los dioses,1950
El cuarto hombre,1952
El cuarto protocolo,1987
El cuchillo en el agua,1962
El día más largo,1962
El diablo de las aguas turbias,1954
El dinero,1983
El empleo del tiempo,2001
Un espíritu burlón,1945
El extraño,1946
El extraño amor de Martha Iver,1946
El extraño viaje,1964
El fantasma de la ópera,1925
El fantasma y la señora Muir,1968
El fugitivo,1993
El gatopardo x2,1963
El gran dictador,1940
El gran Flamarion,1945
El gran Lebowski,1998
El gran mago,
El hijo de Montecristo,1940
El hombre del tren,2002
El hombre que mató a Liberty V,1962
El hombre que se apareció a si,1970
El honor de los prizzi,1985
El hundimiento,2004
El increíble hombre menguante,1957
El inocente,1976
El intendente Sansho,1954
El jardinero fiel,2005
El joven Lincoln,1939
El jurado,2003
El laberinto del fauno,2006
El león en invierno,1968
"Most Dangerous Game, The",1932
El manantial de la doncella,1960
El maquinista de la general,1926
El mensajero del miedo,1962
El mercader de Venecia,2004
El millonario,1954
El nacimiento de una nación,1915
El navegante,1924
El otro lado de la cama,2002
El paciente inglés,1996
El padrino,1972
El padrino. Parte II,1974
El padrino. Parte III,1990
El perro del hortelano x2,1996
El pianista x2,2002
El piano x2,1993
"Prince and the Pauper, The",1937
El principio de la incertidumb,2002
Procés de Jeanne d'Arc,1962
El profesor chiflado,1963
El puente sobre el río Kwai,1957
El resplandor,1980
El rostro impenetrable,1961
El salario del miedo,1953
El samurai ciego,
El sargento negro,1960
El secreto de Vera Drake,2004
El señor de Balantry,1953
El séptimo sello,1957
El silencio de un hombre,1967
El tercer hombre,1949
El trigo esta verde,1979
August Rush: El triunfo de un,2007
El último emperador,1987
El último golpe,2001
El último gran mago,2007
El último show,2006
El valle de la venganza (x2),1951
El verdugo,1963
El viaje a ninguna parte,1986
El viaje de Chihiro,2001
El viaje de la tortuga,2009
El viaje de los malditos,1976
El violinista en el tejado (x2,1971
Ellos y ellas,1955
"Emma, de Jane Austen",1996
En alas de la danza,1936
En busca del fuego,1981
En el valle de Elah,2007
En la cama,2005
En tierra de nadie,2001
Encuentros en la tercera fase,1977
Ensayo de un crimen,1955
Bnviado especial,1940
Escala en Hawaii,1955
Epaña en la memoria,
Estación Termini,1953
Europa,1991
Eva al desnudo,1950
Factótum,2005
Falso culpable,1956
Fanny y Alexander,1982
Fascinación,1976
forajidos (x2),1976
Funny Games: juegos divertidos,1997
furia,1936
Furtivos,1975
Gente con clase,2000
Gertrud,1964
