"Title","Director","Studio","My Rating","Genre"
"4 luni, 3 saptamáni si 2zile","","","0",""
"Ágora","Alejandro Amenábar","Mod Producciones","0","Adventure, Drama, History, Romance"
"21 gramos","Alejandro González Iñárritu","This Is That Productions","0","Crime, Drama, Thriller"
"21 gramos","Alejandro González Iñárritu","This Is That Productions","0","Crime, Drama, Thriller"
"Acción mutante","Álex de la Iglesia","CiBy 2000","0","Action, Comedy, Sci-Fi"
"Adiós, muñeca","Dick Richards","EK","0","Crime, Mystery, Thriller"
"¡Viva Zapata!","Elia Kazan","Twentieth Century Fox Film Corporation","0","Biography, Drama, History, War, Western"
"Al otro lado","Fatih Akin","Anka Film","0","Drama"
"Al servicio de las damas","Gregory La Cava","Universal Pictures","0","Romance, Comedy"
"Abyss","James Cameron","Twentieth Century Fox Film Corporation","0","Adventure, Drama, Sci-Fi, Thriller"
"0 Brother!","Joel Coen, Ethan Coen","Touchstone Pictures","0","Comedy, Crime, Music"
"Adiós a mi concubina","Kaige Chen","Beijing Film Studio","0","Drama, Music, Romance"
"Adiós, muchachos","Louis Malle","Nouvelles Éditions de Films (NEF)","0","Biography, Drama, War"
"Abismos de pasión","Luis Buñuel","Producciones Tepeyac","0","Drama, Romance"
"Abril","Nanni Moretti","Sacher Film","0","Biography, Comedy"
"Aflicción","Paul Schrader","JVC Entertainment Networks","0","Drama, Mystery, Thriller"
"14 de julio","René Clair","Films Sonores Tobis","0","Comedy, Romance"
"Algunos hombres buenos","Rob Reiner","Columbia Pictures Corporation","0","Drama, Thriller"
"Alemania, año cero","Roberto Rossellini","Tevere Film","0","Drama, War"
"Aleksandr Nevskiy","Sergei M. Eisenstein, Dmitriy Vasilev","Mosfilm","0","Action, Drama, History, War, TV Movie"
"12 hombres sin piedad","Sidney Lumet","Orion-Nova Productions","0","Crime, Drama"
"2001: Una odisea del espacio","Stanley Kubrick","Metro-Goldwyn-Mayer (MGM)","0","Mystery, Sci-Fi"
"Amantes","Vicente Aranda","Pedro Costa Producciones Cinematográficas S.A.","0","Crime, Drama, Romance"
"11'09,,01 - 11 de septiembre","Youssef Chahine, Amos Gitai","CIH Shorts","0","Drama"
